"Area","Fishery","Sex","SizeClass","Year","CalendarYear","Timestep","ThisTimestep","VNotchedNumber","VNotchedWeight","LandedCatchNumber","LandedCatchWeight","DeadHandlingMNumber","DeadHandlingMWeight","ExploitationRateNumber","ExploitationRateWeight"
"Area 1","Fishery 1","Female",53,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",58,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",63,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",68,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",73,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",78,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",83,1981,1981,1,1,0,0,105000,53898663.71,0,0,111.94,112.35
"Area 1","Fishery 1","Female",88,1981,1981,1,1,0,0,115000,68710317.63,0,0,248.92,246.355
"Area 1","Fishery 1","Female",93,1981,1981,1,1,0,0,95000,67105528.635,0,0,248.69,249.49
"Area 1","Fishery 1","Female",98,1981,1981,1,1,0,0,45000,36714258.585,0,0,229.59,230.26
"Area 1","Fishery 1","Female",103,1981,1981,1,1,0,0,5000,4675842.93,0,0,46.295,46.305
"Area 1","Fishery 1","Female",108,1981,1981,1,1,0,0,20000,22082406.51,0,0,263.16,269.3
"Area 1","Fishery 1","Female",113,1981,1981,1,1,0,0,15000,18347078.235,0,0,365.855,365.81
"Area 1","Fishery 1","Female",118,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",123,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",128,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",133,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",138,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",143,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",148,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",153,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",158,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",163,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",168,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",173,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",178,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",183,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",188,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",193,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",198,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",203,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",208,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",213,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",218,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",223,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",53,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",58,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",63,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",68,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",73,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",78,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",83,1981,1981,1,1,0,0,120000,61176818.445,0,0,141.175,141.25
"Area 1","Fishery 1","Male",88,1981,1981,1,1,0,0,25000,15308639.875,0,0,65.275,66.485
"Area 1","Fishery 1","Male",93,1981,1981,1,1,0,0,45000,31488386.36,0,0,135.135,134.435
"Area 1","Fishery 1","Male",98,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",103,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",108,1981,1981,1,1,0,0,5000,5686972.625,0,0,128.205,135.925
"Area 1","Fishery 1","Male",113,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",118,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",123,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",128,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",133,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",138,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",143,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",148,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",153,1981,1981,1,1,0,0,0,0,0,0,0,0
